ID,Path,Area,Location,Rooms,Floor,Floors,Repaired,Price,Currency,address,Latitude,Longtitude,Metro Proximity
5931198,https://bina.az/items/5931198,7000.0,,,,,True,4000000,AZN,Quba rayonu,,,"(None, None)"
5561259,https://bina.az/items/5561259,23.0,Elmlər Akademiyası m.,,,,,34000,AZN,Hüseyn Cavid prospekti,40.3778708,49.8154328,True
5789113,https://bina.az/items/5789113,115.0,İnşaatçılar m.,3.0,9.0,16.0,True,290000,AZN,Əbdülvahab Salamzadə küç.,40.6791258,46.338346,False
5907642,https://bina.az/items/5907642,1875.0,Sabunçu r.,14.0,,,True,1600000,AZN,Novxanı qəs,40.4481434,49.93389,False
5789744,https://bina.az/items/5789744,88.0,20 Yanvar m.,3.0,13.0,18.0,True,260000,AZN,Asif Məhərrəmov küçəsi,40.4076538,49.8115315,True
5846736,https://bina.az/items/5846736,210.0,Ağ şəhər q.,5.0,6.0,7.0,,882000,AZN,Mərkəzi Bulvar küç.,40.5877386,49.6881285,False
5952279,https://bina.az/items/5952279,72.0,Günəşli q.,3.0,4.0,9.0,True,152000,AZN,Inqilab Ismayılov küç.,40.3593302,49.9715931,False
5804097,https://bina.az/items/5804097,167.0,20 Yanvar m.,4.0,3.0,18.0,True,330000,AZN,Rövşən Cəfərov küç,40.4139014,49.8094141,True
5924678,https://bina.az/items/5924678,105.0,Həzi Aslanov m.,3.0,2.0,16.0,True,265000,AZN,Nəsrəddin Tusi küçəsi,40.3760405,49.9608439,True
5952277,https://bina.az/items/5952277,600.0,,6.0,,,True,240000,AZN,Çiləgir kəndi,,,"(None, None)"
5952270,https://bina.az/items/5952270,137.0,Elmlər Akademiyası m.,3.0,11.0,17.0,True,370000,AZN,Nərimanov pr.,41.4586884,48.7961102,False
5885767,https://bina.az/items/5885767,53.0,Səbail r.,,,,,160000,AZN,Neftçilər prospekti,40.3661993,49.8382226,True
5929622,https://bina.az/items/5929622,10.0,,,,,,130000,AZN,Corat qəs.,,,"(None, None)"
5756949,https://bina.az/items/5756949,90.0,Memar Əcəmi m.,3.0,3.0,17.0,True,208000,AZN,Mir Cəlal küç,40.4165534,49.8082747,True
5938333,https://bina.az/items/5938333,75.0,Neftçilər m.,2.0,14.0,16.0,True,207000,AZN,Məhsəti Gəncəvi küçəsi,40.4781842,49.9404557,False
5952278,https://bina.az/items/5952278,139.2,Azadlıq Prospekti m.,4.0,5.0,16.0,,275000,AZN,Ramiz Qəmbərov küç.,40.414158,49.9585386,True
5893967,https://bina.az/items/5893967,126.0,Nəriman Nərimanov m.,3.0,14.0,16.0,True,340000,AZN,Əliyar Əliyev küçəsi,40.4035044,49.8778512,True
5694779,https://bina.az/items/5694779,95.0,Nəriman Nərimanov m.,3.0,1.0,10.0,True,250000,AZN,İ.Həsənoğlu küç,39.8086927,46.7439181,False
5952276,https://bina.az/items/5952276,130.0,İnşaatçılar m.,4.0,17.0,19.0,True,318000,AZN,Abbas Mirzə Şərifzadə küç.,40.3999124,49.8014257,True
5757944,https://bina.az/items/5757944,60.0,Bakıxanov q.,3.0,4.0,5.0,True,157000,AZN,Sülh küç.,40.4220467,49.9712198,False
5866371,https://bina.az/items/5866371,176.0,Sahil m.,4.0,5.0,16.0,True,825000,AZN,Həzi Aslanov küç.,40.3616534,49.9826679,False
5768975,https://bina.az/items/5768975,90.0,Həzi Aslanov m.,2.0,16.0,16.0,True,250000,AZN,Məhəmməd Hadi küç.,40.3806652,49.9539101,True
5822995,https://bina.az/items/5822995,200.0,Maştağa q.,6.0,,,True,115000,AZN,Maştağa qəsəbəsi,40.4770799,50.0076767,False
5859117,https://bina.az/items/5859117,80.0,Gənclik m.,3.0,7.0,9.0,True,243000,AZN,Atatürk prospekti,40.4124282,49.8469621,True
5905362,https://bina.az/items/5905362,6000.0,Bakıxanov q.,20.0,,,True,2290000,AZN,Aşıqpəri küçəsi,40.4215116,49.9614438,False
5869200,https://bina.az/items/5869200,170.0,Nəsimi r.,4.0,5.0,19.0,True,545000,AZN,Qulu Quliyev küç,40.418841,49.9901827,False
5867679,https://bina.az/items/5867679,55.0,Suraxanı r.,2.0,5.0,17.0,True,133000,AZN,Samir Cəfərov küç,40.3822399,49.9845566,False
5952273,https://bina.az/items/5952273,127.0,Qara Qarayev m.,3.0,12.0,14.0,True,367900,AZN,Tofiq Abbasov küç.,40.419904,49.9309896,True
5739936,https://bina.az/items/5739936,120.0,Maştağa q.,4.0,,,True,120000,AZN,Xanlar küçəsi,40.5315618,50.0009549,False
4994082,https://bina.az/items/4994082,250.0,Badamdar q.,,,,True,750000,AZN,Əziz Nəzərov 26,40.6884969,46.3880176,False
5669281,https://bina.az/items/5669281,75.0,,2.0,4.0,5.0,True,98000,AZN,Xırdalan şəh 28 Məhəllə,,,"(None, None)"
5952271,https://bina.az/items/5952271,70.0,Buzovna q.,3.0,,,True,95000,AZN,Buzovna qəs.,40.5222385,50.1029082,False
