ID,Path,Area,Location,Rooms,Floor,Floors,Repaired,Price,Currency,address
5952501,https://bina.az/items/5952501,54.0,Qaraçuxur q.,1.0,13.0,13.0,,97500,AZN,Qaraçuxur qəs.
5116924,https://bina.az/items/5116924,220.0,Nizami m.,4.0,12.0,15.0,True,575000,AZN,Əlibəy Hüseynzadə küçəsi
5936772,https://bina.az/items/5936772,110.0,Saray q.,4.0,,,True,115000,AZN,Saray qəs.
5952521,https://bina.az/items/5952521,75.0,Köhnə Günəşli q.,3.0,4.0,9.0,True,164000,AZN,İnqlab İsmayılov küçəsi
5785008,https://bina.az/items/5785008,130.0,Nəriman Nərimanov m.,3.0,4.0,8.0,True,365000,AZN,Heydər Əliyev pr.
5886927,https://bina.az/items/5886927,105.0,Nəsimi m.,2.0,3.0,17.0,True,225000,AZN,Mir Cəlal küçəsi
5889872,https://bina.az/items/5889872,100.0,Binəqədi r.,3.0,17.0,18.0,True,275000,AZN,Əcəmi Naxçivani küçəsi
5743628,https://bina.az/items/5743628,90.0,Nəriman Nərimanov m.,3.0,5.0,17.0,True,350000,AZN,Əliyar Əliyev küç.
5908244,https://bina.az/items/5908244,90.0,Dərnəgül m.,2.0,2.0,17.0,True,227000,AZN,Abay Kunanbayev küçəsi
5552903,https://bina.az/items/5552903,100.0,8 Noyabr m.,3.0,7.0,17.0,True,275000,AZN,Azər Əliyev küçəsi
5782240,https://bina.az/items/5782240,210.0,Gənclik m.,4.0,10.0,16.0,,538000,AZN,Əliəşrəf Əlizadə küçəsi
5952518,https://bina.az/items/5952518,58.0,Azadlıq Prospekti m.,3.0,17.0,17.0,True,178000,AZN,Abay Kunanbayev küçəsi
5952511,https://bina.az/items/5952511,150.0,Bayıl q.,3.0,11.0,19.0,True,830000,AZN,Xanlar küç
5240823,https://bina.az/items/5240823,100.0,8 Noyabr m.,3.0,24.0,27.0,True,315000,AZN,Tblisi pr.
5423100,https://bina.az/items/5423100,120.0,Yeni Yasamal q.,5.0,8.0,9.0,True,210000,AZN,Məhəmməd Xiyabani küçəsi
5879105,https://bina.az/items/5879105,75.0,Hövsan q.,3.0,5.0,7.0,True,125000,AZN,Hövsan qəsəbəsi
5952514,https://bina.az/items/5952514,140.0,Səbail r.,4.0,,,True,305000,AZN,Nardaran qəsəbəsi
5952516,https://bina.az/items/5952516,45.0,İnşaatçılar m.,2.0,20.0,20.0,True,140000,AZN,Əsəd Əhmədov küçəsi
5921677,https://bina.az/items/5921677,112.4,Biləcəri q.,2.0,6.0,15.0,,200000,AZN,Rəşid ismayılov küçəsi
5952512,https://bina.az/items/5952512,70.0,Biləcəri q.,3.0,,,True,125000,AZN,Biləcəri qəsəbəsi
5450889,https://bina.az/items/5450889,38.0,Masazır q.,2.0,6.0,9.0,True,74500,AZN,"Masazır qəsəbəsi, Yeni bakı kompleksi, bina 15"
5952510,https://bina.az/items/5952510,117.0,Nəriman Nərimanov m.,3.0,10.0,16.0,True,360000,AZN,Balaəmi Dadaşov küçəsi
5506250,https://bina.az/items/5506250,95.0,Elmlər Akademiyası m.,3.0,13.0,17.0,True,240000,AZN,"İsfəndiyar Zülalov küç., 19."
5091706,https://bina.az/items/5091706,119.0,Həzi Aslanov m.,3.0,14.0,17.0,True,259000,AZN,Məhəmməd Hadi küçəsi
5890492,https://bina.az/items/5890492,36.0,,2.0,11.0,18.0,True,57500,AZN,"Xırdalan şəh.,Heydər Əliyev prospekti"
5952513,https://bina.az/items/5952513,116.0,Nərimanov r.,,,,,928000,AZN,Təbriz Küçəsi
5929307,https://bina.az/items/5929307,27.0,,1.0,13.0,18.0,True,45500,AZN,Xırdalan şəhəri
4732723,https://bina.az/items/4732723,240.0,Mərdəkan q.,4.0,,,True,625000,AZN,Mərdəkan qəs.
5952504,https://bina.az/items/5952504,70.0,Nəriman Nərimanov m.,2.0,6.0,9.0,True,215000,AZN,Fətəli Xan Xoyski küç
5814523,https://bina.az/items/5814523,72.0,Xalqlar Dostluğu m.,2.0,10.0,11.0,True,155000,AZN,Elşən Süleymanov küç.
5952428,https://bina.az/items/5952428,100.0,Həzi Aslanov m.,4.0,4.0,9.0,True,178800,AZN,Əhmədli qəs.
5937054,https://bina.az/items/5937054,63.1,,2.0,10.0,18.0,,63000,AZN,Xırdalan şəhəri
5937922,https://bina.az/items/5937922,77.3,,2.0,14.0,17.0,,81500,AZN,"Xırdalan şəh.,Heydər Əliyev prospekti"
